Timestamp,Channel1,Action1,Action2
0.001,656.8219210889246,Rest,
0.278,650.5477780756686,Rest,
0.28,645.8062089450608,Rest,
0.281,645.3124869242295,Rest,
0.283,647.8177008411527,Rest,
0.284,647.2133579508493,Rest,
0.285,646.5538420145323,Rest,
0.287,644.7848260146172,Rest,
0.288,647.2044679170212,Rest,
0.29,647.2734179822705,Rest,
0.291,639.9590074967155,Rest,
0.293,632.7587268064889,Rest,
0.294,629.2161642570692,Rest,
0.296,628.9267896326529,Rest,
0.297,628.18589427303,Rest,
0.299,629.0048770910355,Rest,
0.3,632.6163944740765,Rest,
0.301,638.2687113605393,Rest,
0.303,641.4868666514,Rest,
0.304,643.1649015146377,Rest,
0.306,641.6713168229243,Rest,
0.307,636.1188639544087,Rest,
0.309,633.7415109564676,Rest,
0.31,637.4649748164385,Rest,
0.312,623.7165157457013,Rest,
0.313,613.8290499244988,Rest,
0.315,604.6057265526922,Rest,
0.316,605.1200503253997,Rest,
0.318,606.2154270667347,Rest,
0.319,623.1059352285785,Rest,
0.32,641.429299882567,Rest,
0.322,644.5765041800146,Rest,
0.323,646.7256464631135,Rest,
0.325,648.8702105129016,Rest,
0.326,651.3816256978066,Rest,
0.328,654.1838448266798,Rest,
0.329,655.0161445160085,Rest,
0.331,653.2175449392253,Rest,
0.332,650.4168063899048,Rest,
0.334,648.4153346318406,Rest,
0.335,647.4424639275627,Rest,
0.336,643.6557899303186,Rest,
0.338,642.1839162330527,Rest,
0.339,638.8154469508465,Rest,
0.341,637.0481457767661,Rest,
0.342,636.6566260643751,Rest,
0.344,641.7224570181914,Rest,
0.345,650.4985142348426,Rest,
0.347,653.0235604075862,Rest,
0.348,648.4543721025434,Rest,
0.35,639.3959330792347,Rest,
0.351,628.896746503919,Rest,
0.353,621.9588568161555,Rest,
0.354,622.7928331843416,Rest,
0.355,622.9766789646958,Rest,
0.357,621.5711774314854,Rest,
0.358,627.0944061391838,Rest,
0.36,635.3739792554354,Rest,
0.361,646.8670030673746,Rest,
0.363,650.3790986989854,Rest,
0.364,648.695368015214,Rest,
0.366,646.3735319821277,Rest,
0.367,645.9570903726924,Rest,
0.369,646.1306626952485,Rest,
0.37,647.645737248151,Rest,
0.371,648.2027468923029,Rest,
0.373,650.2160555381842,Rest,
0.374,650.7801766133518,Rest,
0.376,648.0840388636635,Rest,
0.377,646.7561258978993,Rest,
0.379,645.1695525848332,Rest,
